origNode, k, verticesSeen
323,2,7338,
323,3,27188,
324,1,15,
324,2,5261,
324,3,26491,
325,1,91,
325,2,12416,
325,3,27958,
326,1,14,
326,2,4360,
326,3,26190,
327,1,4,
327,2,346,
327,3,17299,
328,1,153,
328,2,13957,
328,3,28076,
329,1,37,
329,2,8012,
329,3,27306,
330,1,13,
330,2,2411,
330,3,24439,
331,1,68,
331,2,9313,
331,3,27555,
332,1,9,
332,2,3201,
332,3,25323,
333,1,2,
333,2,463,
333,3,18625,
334,1,97,
334,2,12234,
334,3,27941,
335,1,7,
335,2,1770,
335,3,23339,
336,1,6,
336,2,5600,
336,3,26580,
337,1,22,
337,2,6350,
337,3,26871,
338,1,5,
338,2,532,
338,3,19597,
339,1,4,
339,2,1957,
339,3,23739,
341,1,338,
341,2,17055,
341,3,28261,
342,1,51,
342,2,9366,
342,3,27584,
343,1,20,
343,2,3273,
343,3,25486,
344,1,113,
344,2,9137,
344,3,27540,
345,1,16,
345,2,5677,
345,3,26675,
346,1,8,
346,2,1970,
346,3,24112,
347,1,190,
347,2,14762,
347,3,28154,
348,1,24,
348,2,4799,
348,3,26418,
349,1,12,
349,2,2307,
349,3,24421,
350,1,62,
350,2,10378,
350,3,27705,
351,1,8,
351,2,1659,
351,3,23452,
352,1,2,
352,2,340,
352,3,17085,
353,1,140,
353,2,13051,
353,3,27997,
354,1,22,
354,2,4395,
354,3,26188,
355,1,13,
355,2,2873,
355,3,24926,
356,1,36,
356,2,6250,
356,3,26946,
357,1,6,
357,2,1281,
357,3,22434,
358,1,1,
358,2,967,
358,3,21731,
359,1,61,
359,2,9742,
359,3,27621,
360,1,5,
360,2,1101,
360,3,22185,
361,1,7,
361,2,1836,
361,3,23774,
362,1,17,
362,2,4186,
362,3,26002,
363,1,5,
363,2,1435,
363,3,22982,
364,1,3,
364,2,748,
364,3,20034,
365,1,155,
365,2,12358,
365,3,27959,
366,1,23,
366,2,6725,
366,3,27017,
367,1,15,
367,2,3596,
367,3,25640,
368,1,71,
368,2,9500,
368,3,27574,
369,1,8,
369,2,1463,
369,3,23065,
370,1,1,
370,2,6,
370,3,4747,
371,1,101,
371,2,10747,
371,3,27795,
372,1,10,
372,2,4799,
372,3,26319,
373,1,8,
373,2,5295,
373,3,26494,
374,1,31,
374,2,6723,
374,3,27015,
375,1,8,
375,2,1600,
375,3,23392,
376,1,1,
376,2,910,
376,3,21259,
377,1,59,
377,2,8670,
377,3,27425,
378,1,10,
378,2,4307,
378,3,26050,
379,1,4,
379,2,1387,
379,3,22771,
380,1,21,
380,2,3710,
380,3,25739,
381,1,3,
381,2,247,
381,3,16167,
382,1,1,
382,2,604,
382,3,19779,
383,1,42,
383,2,7618,
383,3,27215,
384,1,7,
384,2,1705,
384,3,23257,
385,1,4,
385,2,682,
385,3,19902,
386,1,8,
386,2,5471,
386,3,26498,
387,1,3,
387,2,721,
387,3,20367,
388,1,2,
388,2,1002,
388,3,21715,
390,1,1388,
390,2,22517,
390,3,28475,
391,1,305,
391,2,16315,
391,3,28209,
392,1,118,
392,2,9901,
392,3,27702,
393,1,530,
393,2,19070,
393,3,28367,
394,1,96,
394,2,10245,
394,3,27701,
395,1,28,
395,2,3655,
395,3,25774,
396,1,763,
396,2,20534,
396,3,28406,
397,1,141,
397,2,12132,
397,3,27931,
398,1,70,
398,2,11181,
398,3,27833,
399,1,293,
399,2,16417,
399,3,28238,
400,1,49,
400,2,8116,
400,3,27370,
401,1,21,
401,2,4747,
401,3,26309,
402,1,639,
402,2,19979,
402,3,28401,
403,1,99,
403,2,12197,
403,3,27933,
404,1,53,
404,2,8434,
404,3,27456,
405,1,230,
405,2,15088,
405,3,28160,
406,1,44,
406,2,9097,
406,3,27466,
407,1,14,
407,2,2201,
407,3,24332,
408,1,310,
408,2,16691,
408,3,28255,
409,1,50,
409,2,8584,
409,3,27417,
410,1,20,
410,2,7087,
410,3,27178,
411,1,110,
411,2,13531,
411,3,28056,
412,1,22,
412,2,6292,
412,3,26888,
413,1,10,
413,2,2534,
413,3,24639,
414,1,789,
414,2,20616,
